Designator,Mid X,Mid Y,Rotation,Layer
C1,133.6,-77.2,180.0,top
C2,128.6,-77.2,180.0,top
C3,136.0,-81.0,90.0,top
C4,131.5,-81.0,90.0,top
C5,139.6,-81.6,90.0,top
C6,142.0,-78.0,270.0,top
C7,126.0,-81.0,90.0,top
C8,120.5,-81.0,90.0,top
C9,138.4,-77.2,180.0,top
J1,130.330074,-69.227977,0.0,top
J2,148.330074,-69.227977,0.0,top
R1,123.2,-77.2,0.0,top
